Date,Open,High,Low,Close,Adjusted_close,Volume,Id
1/2/2009,33.86,34.3,33.07,34.14,33.1321,795895,1
1/5/2009,33.89,34.13,33.37,33.68,32.6854,969631,2
1/6/2009,34.01,34.3,33.28,33.73,32.7342,1159318,3
1/7/2009,33.29,33.5,31.84,32.39,31.4336,1919040,4
1/8/2009,32.38,32.6,31.25,32.5,31.5404,1165188,5
1/9/2009,32.39,32.39,31.545,31.78,30.8419,991480,6
1/12/2009,31.58,31.79,30.51,30.83,29.9196,825546,7
1/13/2009,30.67,31.27,30.46,31.12,30.2012,1141772,8
1/14/2009,30.46,30.76,30,30.13,29.2399,1065503,9
1/15/2009,30.13,31.12,29.5,30.59,29.6866,1612351,10
1/16/2009,31.03,31.85,30.56,31.72,30.7833,930286,11
1/20/2009,31.24,31.63,30.01,30.16,29.2694,753383,12
1/21/2009,30.22,31.55,29.79,31.48,30.5503,1600801,13
1/22/2009,32.28,33.19,31.7,32.71,31.7441,2428909,14
1/23/2009,32.09,33.59,31.43,32.84,31.8703,1393576,15
1/26/2009,32.32,33.51,32.32,32.77,31.8026,1567619,16
1/27/2009,33.37,33.89,32.6,33.03,32.0548,1059832,17
1/28/2009,33.73,34.55,33.48,34.4,33.3847,1432072,18
1/29/2009,34.04,34.39,33.25,33.37,32.3846,1025599,19
1/30/2009,33.56,33.84,32.46,32.73,31.7634,1273061,20
2/2/2009,32.18,33.18,32.18,33.04,32.0646,910425,21
2/3/2009,33.07,34.12,32.38,33.93,32.9281,1190134,22
2/4/2009,33.89,34,32.9,33.38,32.3943,1947431,23
2/5/2009,33.2,33.57,32.68,32.95,31.9768,2398926,24
2/6/2009,33.03,34.21,32.86,33.63,32.637,1773689,25
2/9/2009,33.7,34.25,33.26,34.25,33.2386,1603806,26
2/10/2009,33.95,34.71,32.84,32.95,31.9768,2653379,27
2/11/2009,33.07,33.53,32.6,32.76,31.7926,1735771,28
2/12/2009,32.45,33.1,31.64,33,32.0256,2015866,29
2/13/2009,33.2,33.74,32.68,32.82,31.8508,974163,30
2/17/2009,31.96,32.8,31.82,32.14,31.191,2782813,31
2/18/2009,32.22,33.08,31.83,32.63,31.6667,3245229,32
2/19/2009,36.37,37.93,36.26,37,35.9075,9416770,33
2/20/2009,36.31,37.9,36.3,36.91,35.8198,4039272,34
2/23/2009,37.29,37.81,36.36,36.47,35.3931,3021719,35
2/24/2009,36.89,37.97,36.58,37.58,36.4703,3089666,36
2/25/2009,37.47,38.19,37,37.5,36.3927,3130650,37
2/26/2009,38,38.64,37.25,37.53,36.4222,2744220,38
2/27/2009,37.34,38.75,37.1,38.25,37.1205,2674384,39
3/2/2009,37.69,38.56,36.12,36.31,35.2374,2624371,40
3/3/2009,38.31,39.5,37.62,38.32,37.1888,4832205,41
3/4/2009,38.92,38.93,37.34,37.54,36.432,3222410,42
3/5/2009,36.92,38.26,36.25,37.19,36.0918,2040835,43
3/6/2009,37.385,37.62,35.49,36.43,35.3544,3822784,44
3/9/2009,36.22,37.67,35.77,36.01,34.947,1859967,45
3/10/2009,36.65,38.39,36.52,38.28,37.1493,2105358,46
3/11/2009,38.06,39.64,37.76,39.4,38.2368,2855070,47
3/12/2009,39.32,39.99,38.7,39.86,38.6828,2327721,48
3/13/2009,39.76,40,38.88,39.73,38.5568,1450706,49
3/16/2009,39.82,39.86,38.64,38.87,37.7223,1548418,50
3/17/2009,38.7,39.91,38.5,39.54,38.3725,1494903,51
3/18/2009,39.54,41.53,39.34,41.04,39.8282,2790692,52
3/19/2009,41.75,41.75,40.11,41.06,39.8478,1545898,53
3/20/2009,41.4,41.4,39.54,40.01,38.828,1727504,54
3/23/2009,40.37,40.68,37.76,40.65,39.4497,3274874,55
3/24/2009,40.25,40.57,39.09,39.15,37.9943,2800430,56
3/25/2009,39.4,40,38.45,40,38.8782,2606679,57
3/26/2009,40.17,42.39,39.89,42.19,41.0071,2634249,58
3/27/2009,41.81,41.98,41.26,41.8,40.628,1441434,59
3/30/2009,41.12,41.64,40.43,41.64,40.4725,1594222,60
3/31/2009,42.11,42.11,40.59,41.08,39.9283,1865297,61
4/1/2009,40.52,42.24,40.4,42.09,40.9095,1972932,62
4/2/2009,41.05,41.66,39.61,39.77,38.655,4266491,63
4/3/2009,38.55,40.51,38.11,40.51,39.3739,3577438,64
4/6/2009,40.16,40.48,39.38,40.3,39.1698,2064168,65
4/7/2009,39.91,40.04,39.2,39.49,38.3828,1932994,66
4/8/2009,40.04,41.04,39.31,40.68,39.5396,1872129,67
4/9/2009,41.32,42.5,41.32,42.29,41.1042,2094528,68
4/13/2009,42.05,42.15,40.56,41.22,40.0642,1847294,69
4/14/2009,40.89,41.11,39.71,40.62,39.4812,1608896,70
4/15/2009,40.5,42.16,40.09,42.07,40.8901,2367545,71
4/16/2009,42.52,43.83,41.97,43.54,42.3193,1884659,72
4/17/2009,43.74,43.85,43.01,43.34,42.1248,1304921,73
4/20/2009,41.71,43.07,41.53,41.82,40.6474,1119325,74
4/21/2009,42,42.67,41.46,42.61,41.4156,1032892,75
4/22/2009,42.24,44.18,42.24,43.62,42.3969,2167559,76
4/23/2009,43.65,44.64,43.4,44.14,42.9024,1834193,77
4/24/2009,44.19,44.39,42.5,42.63,41.4349,1818780,78
4/27/2009,42.45,43.08,42.02,42.47,41.2793,1713036,79
4/28/2009,42.35,44,42.1,43.48,42.2605,1848943,80
4/29/2009,43.86,44.38,42.32,42.6,41.4057,1593746,81
4/30/2009,43.97,44.89,43.3,43.75,42.5233,2507163,82
5/1/2009,43.78,43.78,42.1,42.43,41.2404,1513756,83
5/4/2009,42.84,44.01,42.63,43.78,42.5521,1186574,84
5/5/2009,42.43,43.27,41.98,42.06,40.8803,2809371,85
5/6/2009,42.32,43.28,41.29,42.27,41.085,2622002,86
5/7/2009,42.96,43.05,41.53,41.85,40.6764,1498263,87
5/8/2009,42.26,42.54,41.08,41.7,40.5306,1258180,88
