SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-18-2019,Single Family Residential,2245 137th Pl SE,Bellevue,WA,98005,1075000,4,2.75,College Hill,2940,8800,1968,104,366,,Sold,,,http://www.redfin.com/WA/Bellevue/2245-137th-Pl-SE-98005/home/509389,NWMLS,1443099,N,Y,47.5899977,-122.1558292
PAST SALE,June-14-2019,Single Family Residential,10806 SE 16th St,Bellevue,WA,98004,2100000,5,3.5,Enatai,3620,19850,2006,108,580,,Sold,,,http://www.redfin.com/WA/Bellevue/10806-SE-16th-St-98004/home/510666,NWMLS,1427025,N,Y,47.596757,-122.1955891
PAST SALE,June-14-2019,Single Family Residential,12527 SE 14th St,Bellevue,WA,98005,1095000,5,2.5,Woodridge,2230,10194,1961,108,491,,Sold,,,http://www.redfin.com/WA/Bellevue/12527-SE-14th-St-98005/home/506957,NWMLS,1458910,N,Y,47.5985489,-122.1726126
PAST SALE,June-14-2019,Single Family Residential,2307 129th Ave SE,Bellevue,WA,98005,1475000,4,3.25,Woodridge,3240,9977,1982,108,455,,Sold,,,http://www.redfin.com/WA/Bellevue/2307-129th-Ave-SE-98005/home/508406,NWMLS,1443625,N,Y,47.5904202,-122.168403
PAST SALE,June-24-2019,Single Family Residential,1638 172nd Ave NE,Bellevue,WA,98008,699000,3,1.0,Microsoft,1215,7416,1960,98,575,,Sold,,,http://www.redfin.com/WA/Bellevue/1638-172nd-Ave-NE-98008/home/431923,NWMLS,1458042,N,Y,47.6252096,-122.1111733
PAST SALE,July-5-2019,Condo/Co-op,10000 Main St #704,Bellevue,WA,98004,750000,1,1.5,Downtown,703,,2010,87,1067,550,Sold,,,http://www.redfin.com/WA/Bellevue/10000-Main-St-98004/unit-704/home/12437442,NWMLS,1455763,N,Y,47.6104066,-122.2059247
PAST SALE,July-12-2019,Single Family Residential,9804 Lake Washington Blvd NE,Bellevue,WA,98004,2225000,3,2.75,West Bellevue,2560,12000,1956,80,869,,Sold,,,http://www.redfin.com/WA/Bellevue/9804-Lake-Washington-Blvd-NE-98004/home/251368,NWMLS,1476240,N,Y,47.6118368,-122.2098925
PAST SALE,,Single Family Residential,3461 108th Ave SE,Bellevue,WA,98004,600000,3,1.0,,1400,8512,1952,,429,,,,,http://www.redfin.com/WA/Bellevue/3461-108th-Ave-SE-98004/home/510454,,,N,Y,47.5802913,-122.1969061
PAST SALE,July-15-2019,Condo/Co-op,10045 NE 1st St #226,Bellevue,WA,98004,888000,2,1.75,Downtown,1205,54847,1994,77,737,556,Sold,,,http://www.redfin.com/WA/Bellevue/10045-NE-1st-St-98004/unit-226/home/62745,NWMLS,1435564,N,Y,47.6109927,-122.2050151
PAST SALE,,Single Family Residential,317 145th Pl NE,Bellevue,WA,98007,832500,4,2.5,,2180,8364,1962,,382,,,,,http://www.redfin.com/WA/Bellevue/317-145th-Pl-NE-98007/home/500390,,,N,Y,47.6132345,-122.146599
PAST SALE,June-18-2019,Single Family Residential,304 145th Pl NE,Bellevue,WA,98007,825000,4,2.5,Lake Hills,2500,7260,1963,104,330,,Sold,,,http://www.redfin.com/WA/Bellevue/304-145th-Pl-NE-98007/home/500469,NWMLS,1456102,N,Y,47.6128245,-122.1458599
PAST SALE,June-28-2019,Single Family Residential,1233 108th Ave NE,Bellevue,WA,98004,1505000,3,1.5,West Bellevue,1350,9097,1954,94,1115,,Sold,,,http://www.redfin.com/WA/Bellevue/1233-108th-Ave-NE-98004/home/506081,NWMLS,1459111,N,Y,47.6220658,-122.1966439
PAST SALE,February-21-2019,Single Family Residential,1656 168th Ave NE,Bellevue,WA,98008,655000,4,1.0,Bellevue,1100,7280,1960,221,595,,Sold,,,http://www.redfin.com/WA/Bellevue/1656-168th-Ave-NE-98008/home/432449,NWMLS,1406106,N,Y,47.6258252,-122.1164549
PAST SALE,,Condo/Co-op,3503 109th Pl NE #2,Bellevue,WA,98004,447000,2,1.0,,1012,,1975,,442,,,,,http://www.redfin.com/WA/Bellevue/3503-109th-Pl-NE-98004/unit-2/home/62142,,,N,Y,47.6427924,-122.194405
PAST SALE,June-14-2019,Single Family Residential,17340 NE 17 Pl,Bellevue,WA,98008,874999,3,2.5,Bellevue,2100,9509,1983,108,417,,Sold,,,http://www.redfin.com/WA/Bellevue/17340-NE-17th-Pl-98008/home/503710,NWMLS,1450045,N,Y,47.6256725,-122.1064759
PAST SALE,October-15-2018,Townhouse,11032 NE 41st Dr #26,Kirkland,WA,98033,755000,3,2.25,Houghton,1850,519000,1981,350,408,659,Sold,,,http://www.redfin.com/WA/Kirkland/11032-NE-41st-Dr-98033/unit-26/home/37807,NWMLS,1348147,N,Y,47.6466174,-122.1944585
PAST SALE,November-5-2018,Condo/Co-op,401 100th Ave NE #127,Bellevue,WA,98004,820000,2,1.75,West Bellevue,1804,74992,1980,329,455,872,Sold,,,http://www.redfin.com/WA/Bellevue/401-100th-Ave-NE-98004/unit-127/home/44080,NWMLS,1297361,N,Y,47.6143918,-122.2076683
PAST SALE,June-21-2019,Single Family Residential,1840 184th Ave NE,Bellevue,WA,98008,920000,3,2.25,Tam O'shanter,1850,9771,1973,101,497,340,Sold,,,http://www.redfin.com/WA/Bellevue/1840-184th-Ave-NE-98008/home/503143,NWMLS,1479910,N,Y,47.6267126,-122.0925372
